d,k,global_symdiff_E_vs_F,projection_disagreement,max_marginal_TV,join_reconstruction_error_E,HCAT_rho_k,HCAT_Omega_k,HCAT_rank_rA
3,1,1.0,0.0,0.0,0.5,1.0,1.0,3
3,2,1.0,0.0,0.0,0.5,1.0,1.0,3
3,3,1.0,0.143,1.0,0.0,0.0,0.0,3
4,1,1.0,0.0,0.0,0.5,1.0,1.0,4
4,2,1.0,0.0,0.0,0.5,1.0,1.0,4
4,3,1.0,0.0,0.0,0.5,1.0,1.0,4
4,4,1.0,0.067,1.0,0.0,0.0,0.0,4
5,1,1.0,0.0,0.0,0.5,1.0,1.0,5
5,2,1.0,0.0,0.0,0.5,1.0,1.0,5
5,3,1.0,0.0,0.0,0.5,1.0,1.0,5
5,4,1.0,0.0,0.0,0.5,1.0,1.0,5
5,5,1.0,0.032,1.0,0.0,0.0,0.0,5
6,1,1.0,0.0,0.0,0.5,1.0,1.0,6
6,2,1.0,0.0,0.0,0.5,1.0,1.0,6
6,3,1.0,0.0,0.0,0.5,1.0,1.0,6
6,4,1.0,0.0,0.0,0.5,1.0,1.0,6
6,5,1.0,0.0,0.0,0.5,1.0,1.0,6
6,6,1.0,0.016,1.0,0.0,0.0,0.0,6
