family,d,k,delta,rho,omega,compatible_candidates,join_error,threshold_tau,threshold_rank,k_star,k_star_objective
parity,4,1,0.05,0.3848440418733857,0.3849623717842965,14,0.5,0.1,4,4,0.9760319289206433
parity,4,2,0.05,0.3848440418733857,0.3849623717842965,8,0.5,0.1,4,4,0.9760319289206433
parity,4,3,0.05,0.3848440418733857,0.3849623717842965,6,0.5,0.1,4,4,0.9760319289206433
parity,4,4,0.05,0.00026581065863210936,0.00026581065863210936,2,0.0,0.1,4,4,0.9760319289206433
threshold,4,1,0.05,0.0910576880114132,0.0910576880114132,3,0.3125,0.1,1,1,0.6052884400570661
threshold,4,2,0.05,0.0910576880114132,0.0910576880114132,3,0.3125,0.1,1,1,0.6052884400570661
threshold,4,3,0.05,0.0003433707416018886,0.0003433707416018886,2,0.0,0.1,1,1,0.6052884400570661
threshold,4,4,0.05,0.0003433707416018886,0.0003433707416018886,2,0.0,0.1,1,1,0.6052884400570661
sparse_xor,4,1,0.05,0.20412243841502617,0.3849623717842965,14,0.5,0.1,3,3,0.6625917761654304
sparse_xor,4,2,0.05,0.20412243841502617,0.3849623717842965,8,0.5,0.1,3,3,0.6625917761654304
sparse_xor,4,3,0.05,0.00031729181907943447,0.00031729181907943447,2,0.0,0.1,3,3,0.6625917761654304
sparse_xor,4,4,0.05,0.00031729181907943447,0.00031729181907943447,2,0.0,0.1,3,3,0.6625917761654304
noisy_parity_10,4,1,0.05,0.2040763710900266,0.2266937118392842,6,0.5,0.1,2,2,0.4980970813783654
noisy_parity_10,4,2,0.05,0.023145778636517345,0.023145778636517345,2,0.5,0.1,2,2,0.4980970813783654
noisy_parity_10,4,3,0.05,0.0,0.0,1,0.25,0.1,2,2,0.4980970813783654
noisy_parity_10,4,4,0.05,0.0,0.0,1,0.0,0.1,2,2,0.4980970813783654
hypergraph,4,1,0.05,0.0004226996520347209,0.0004226996520347209,2,0.0,0.1,1,1,0.1521134982601736
hypergraph,4,2,0.05,0.0004226996520347209,0.0004226996520347209,2,0.0,0.1,1,1,0.1521134982601736
hypergraph,4,3,0.05,0.0004226996520347209,0.0004226996520347209,2,0.0,0.1,1,1,0.1521134982601736
hypergraph,4,4,0.05,0.0004226996520347209,0.0004226996520347209,2,0.0,0.1,1,1,0.1521134982601736
parity,5,1,0.05,0.38139399689608056,0.38139399689608056,23,0.5,0.1,5,5,1.432861173652674
parity,5,2,0.05,0.38139399689608056,0.38139399689608056,12,0.5,0.1,5,5,1.432861173652674
parity,5,3,0.05,0.38139399689608056,0.38139399689608056,9,0.5,0.1,5,5,1.432861173652674
parity,5,4,0.05,0.38139399689608056,0.38139399689608056,7,0.5,0.1,5,5,1.432861173652674
parity,5,5,0.05,0.011901495189709066,0.023102483988630646,4,0.0,0.1,5,5,1.432861173652674
threshold,5,1,0.05,0.2941685326022512,0.38130614930228446,15,0.1875,0.1,3,3,0.9458116025338317
threshold,5,2,0.05,0.24558739271484886,0.38130614930228446,8,0.1875,0.1,3,3,0.9458116025338317
threshold,5,3,0.05,0.056957129107973306,0.05696125709275968,3,0.1875,0.1,3,3,0.9458116025338317
threshold,5,4,0.05,0.0004823822625095071,0.0004823822625095071,2,0.0,0.1,3,3,0.9458116025338317
threshold,5,5,0.05,0.0004823822625095071,0.0004823822625095071,2,0.0,0.1,3,3,0.9458116025338317
