family,k,n,join_regret_mean,hcat_regret_mean,rho_U_mean,Omega_U_mean,rho_bound_pass_rate,omega_bound_pass_rate,regret_reduction_pct
hypergraph,1,20,4.6,4.6,0.8797499999999999,0.8797499999999999,1.0,1.0,0.0
hypergraph,2,20,3.26,0.4599999999999999,0.3552499999999999,0.3552499999999999,1.0,1.0,85.88957055214725
hypergraph,3,20,0.0,0.0,0.0,0.0,1.0,1.0,
noisy_parity,1,20,0.4049999999999999,0.4049999999999999,0.7209999999999999,0.7209999999999999,1.0,1.0,0.0
noisy_parity,2,20,0.4049999999999999,0.0,0.4105,0.4105,1.0,1.0,100.0
noisy_parity,3,20,0.0,0.0,0.3104999999999999,0.3104999999999999,1.0,1.0,
sparse_xor,1,20,0.0,0.0,1.035,1.035,1.0,1.0,
sparse_xor,2,20,0.0,0.0,1.035,1.035,1.0,1.0,
sparse_xor,3,20,0.0,0.0,0.0,0.0,1.0,1.0,
threshold,1,20,8.1,0.0,0.0,0.0,1.0,1.0,100.0
threshold,2,20,8.1,0.0,0.0,0.0,1.0,1.0,100.0
threshold,3,20,0.0,0.0,0.0,0.0,1.0,1.0,
