family,d,k,target_states,compatible_global_relations,join_states,join_reconstruction_error,task_radius,task_opacity,utility_radius,utility_opacity,join_regret,hcat_robust_regret,regret_bound_rho,regret_bound_omega,rho_bound_holds,omega_bound_holds,exact_attainability_rank
parity_even,4,1,8,63775,16,0.5,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,True,True,4
parity_even,4,2,8,27535,16,0.5,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,True,True,4
parity_even,4,3,8,743,16,0.5,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,True,True,4
parity_even,4,4,8,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,4
threshold_ge2,4,1,11,63775,16,0.3125,1.0,1.0,1.0,1.0,8.35,8.35,10.0,10.0,True,True,4
threshold_ge2,4,2,11,27535,16,0.3125,0.9375,1.0,1.0,1.0,8.35,8.35,10.0,10.0,True,True,4
threshold_ge2,4,3,11,17,11,0.0,0.25,0.3125,1.0,1.0,0.0,0.0,10.0,10.0,True,True,4
threshold_ge2,4,4,11,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,4
sparse_xor_order2,4,1,8,63775,16,0.5,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,True,True,3
sparse_xor_order2,4,2,8,27535,16,0.5,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,True,True,3
sparse_xor_order2,4,3,8,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,3
sparse_xor_order2,4,4,8,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,3
onehot,4,1,4,63775,16,0.75,1.0,1.0,1.0,1.0,9.299999999999999,9.299999999999999,10.0,10.0,True,True,4
onehot,4,2,4,2,5,0.0625,0.0625,0.0625,1.0,1.0,9.299999999999999,0.0,10.0,10.0,True,True,4
onehot,4,3,4,2,5,0.0625,0.0625,0.0625,1.0,1.0,9.299999999999999,0.0,10.0,10.0,True,True,4
onehot,4,4,4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,4
hypergraph_constraints,4,1,4,63775,16,0.75,1.0,1.0,1.0,1.0,9.15,9.15,10.0,10.0,True,True,3
hypergraph_constraints,4,2,4,35,8,0.25,0.5,0.5,1.0,1.0,9.9,9.15,10.0,10.0,True,True,3
hypergraph_constraints,4,3,4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,3
hypergraph_constraints,4,4,4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,3
