d,k,proper_order,projection_disagreement_even_vs_odd,exact_task_opacity_witness,attainability_rank
2,1,True,0.0,1.0,2
2,2,False,0.3333333333333333,0.0,2
3,1,True,0.0,1.0,3
3,2,True,0.0,1.0,3
3,3,False,0.14285714285714285,0.0,3
4,1,True,0.0,1.0,4
4,2,True,0.0,1.0,4
4,3,True,0.0,1.0,4
4,4,False,0.06666666666666667,0.0,4
5,1,True,0.0,1.0,5
5,2,True,0.0,1.0,5
5,3,True,0.0,1.0,5
5,4,True,0.0,1.0,5
5,5,False,0.03225806451612903,0.0,5
6,1,True,0.0,1.0,6
6,2,True,0.0,1.0,6
6,3,True,0.0,1.0,6
6,4,True,0.0,1.0,6
6,5,True,0.0,1.0,6
6,6,False,0.015873015873015872,0.0,6
7,1,True,0.0,1.0,7
7,2,True,0.0,1.0,7
7,3,True,0.0,1.0,7
7,4,True,0.0,1.0,7
7,5,True,0.0,1.0,7
7,6,True,0.0,1.0,7
7,7,False,0.007874015748031496,0.0,7
8,1,True,0.0,1.0,8
8,2,True,0.0,1.0,8
8,3,True,0.0,1.0,8
8,4,True,0.0,1.0,8
8,5,True,0.0,1.0,8
8,6,True,0.0,1.0,8
8,7,True,0.0,1.0,8
8,8,False,0.00392156862745098,0.0,8
9,1,True,0.0,1.0,9
9,2,True,0.0,1.0,9
9,3,True,0.0,1.0,9
9,4,True,0.0,1.0,9
9,5,True,0.0,1.0,9
9,6,True,0.0,1.0,9
9,7,True,0.0,1.0,9
9,8,True,0.0,1.0,9
9,9,False,0.0019569471624266144,0.0,9
10,1,True,0.0,1.0,10
10,2,True,0.0,1.0,10
10,3,True,0.0,1.0,10
10,4,True,0.0,1.0,10
10,5,True,0.0,1.0,10
10,6,True,0.0,1.0,10
10,7,True,0.0,1.0,10
10,8,True,0.0,1.0,10
10,9,True,0.0,1.0,10
10,10,False,0.0009775171065493646,0.0,10
