rep,observed_states,rank,class_size_k1,class_size_k2,class_size_k3,class_size_k4
0,12,4,63775,27535,9,1
1,15,4,63775,27535,743,1
2,15,4,63775,27535,743,1
3,14,4,63775,27535,743,1
4,15,4,63775,27535,743,1
5,14,4,63775,27535,743,1
6,13,4,63775,27535,43,1
7,15,4,63775,27535,743,1
8,12,4,63775,27535,8,1
9,15,4,63775,27535,743,1
10,14,4,63775,27535,743,1
11,15,4,63775,27535,743,1
12,14,4,63775,27535,743,1
13,13,4,63775,27535,43,1
14,13,4,63775,27535,43,1
15,15,4,63775,27535,743,1
16,15,4,63775,27535,743,1
17,12,4,63775,27535,8,1
18,13,4,63775,27535,43,1
19,14,4,63775,27535,743,1
20,14,4,63775,27535,743,1
21,15,4,63775,27535,743,1
22,15,4,63775,27535,743,1
23,14,4,63775,27535,743,1
24,15,4,63775,27535,743,1
25,14,4,63775,27535,43,1
26,14,4,63775,27535,743,1
27,14,4,63775,27535,743,1
28,15,4,63775,27535,743,1
29,14,4,63775,27535,743,1
30,14,4,63775,27535,743,1
31,15,4,63775,27535,743,1
32,14,4,63775,27535,743,1
33,14,4,63775,27535,743,1
34,14,4,63775,27535,743,1
35,14,4,63775,27535,43,1
36,15,4,63775,27535,743,1
37,15,4,63775,27535,743,1
38,15,4,63775,27535,743,1
39,15,4,63775,27535,743,1
40,14,4,63775,27535,743,1
41,14,4,63775,27535,43,1
42,14,4,63775,27535,743,1
43,13,4,63775,27535,43,1
44,14,4,63775,27535,743,1
45,14,4,63775,27535,743,1
46,14,4,63775,27535,743,1
47,14,4,63775,27535,743,1
48,14,4,63775,27535,743,1
49,14,4,63775,27535,743,1
50,15,4,63775,27535,743,1
51,14,4,63775,27535,743,1
52,15,4,63775,27535,743,1
53,14,4,63775,27535,743,1
54,12,4,63775,27535,8,1
55,14,4,63775,27535,743,1
56,14,4,63775,27535,743,1
57,14,4,63775,27535,743,1
58,14,4,63775,27535,743,1
59,15,4,63775,27535,743,1
60,14,4,63775,27535,743,1
61,13,4,63775,27535,43,1
62,15,4,63775,27535,743,1
63,14,4,63775,27535,43,1
64,15,4,63775,27535,743,1
65,14,4,63775,27535,743,1
66,14,4,63775,27535,43,1
67,15,4,63775,27535,743,1
68,14,4,63775,27535,43,1
69,15,4,63775,27535,743,1
70,13,4,63775,27535,43,1
71,14,4,63775,27535,743,1
72,15,4,63775,27535,743,1
73,14,4,63775,27535,743,1
74,15,4,63775,27535,743,1
75,15,4,63775,27535,743,1
76,15,4,63775,27535,743,1
77,14,4,63775,27535,743,1
78,15,4,63775,27535,743,1
79,14,4,63775,27535,743,1
80,15,4,63775,27535,743,1
81,15,4,63775,27535,743,1
82,14,4,63775,27535,743,1
83,15,4,63775,27535,743,1
84,15,4,63775,27535,743,1
85,15,4,63775,27535,743,1
